DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2015,5.872427,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2016,4.941027,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2017,2.490887,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2018,4.8607,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2019,7.659695,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2020,5.561349,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2021,4.890086,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2022,5.90043,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2023,5.552331,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2024,3.800098,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),IND,A,N,CPI,PA,_T,N,GY,2025,2.795762,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2015,4.518691,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2016,6.602909,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2017,5.186187,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2018,4.509872,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2019,4.102851,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2020,3.232388,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2021,4.618745,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2022,7.039873,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2023,6.075244,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ZAF,A,N,CPI,PA,_T,N,GY,2024,4.361153,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2015,0.6002482,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2016,0.3166667,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2017,1.381459,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2018,1.703498,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2019,2.633699,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2020,1.27246,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2021,2.67572,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2022,10.00121,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2023,3.838393,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2024,3.347543,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),NLD,A,N,CPI,PA,_T,N,GY,2025,3.259577,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ITA,A,N,CPI,PA,_T,N,GY,2015,0.03878675,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ITA,A,N,CPI,PA,_T,N,GY,2016,-0.09406886,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),ITA,A,N,CPI,PA,_T,N,GY,2017,1.226533,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2015,0.4747432,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2016,0.2908333,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2017,1.7308,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2018,1.528195,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2019,1.743321,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2020,0.8199573,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2021,2.52692,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2022,6.336008,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2023,3.741404,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2024,2.051133,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),LUX,A,N,CPI,PA,_T,N,GY,2025,2.257238,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2015,2.720641,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2016,2.821708,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2017,6.041456,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2018,4.899351,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2019,3.635961,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2020,3.396834,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2021,5.689209,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2022,7.896276,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),MEX,A,N,CPI,PA,_T,N,GY,2023,5.527961,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2015,-0.9333333,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2016,-0.5833333,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2017,1.975,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2018,1.666667,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2019,2.308333,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2020,3.4,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2021,5.1,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2022,14.3,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2023,11.56667,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2024,3.65,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),POL,A,N,CPI,PA,_T,N,GY,2025,3.641667,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),SWE,A,N,CPI,PA,_T,N,GY,2015,-0.04678474,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),SWE,A,N,CPI,PA,_T,N,GY,2016,0.9842693,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),SWE,A,N,CPI,PA,_T,N,GY,2017,1.794499,A,,,,2
