DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,ADJUSTMENT,DECIMALS,BASE_PER
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1970-Q1,61.1597601294176,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1970-Q2,61.2443897822873,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1970-Q3,61.7960752942274,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1970-Q4,62.2109539143224,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1971-Q1,62.2646413579015,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1971-Q2,62.0135481964576,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1971-Q3,61.51664194161,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1971-Q4,61.3297316240271,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1972-Q1,61.8102665180229,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1972-Q2,60.4083031748736,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1972-Q3,60.77019928157,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1972-Q4,61.8574101953002,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1973-Q1,60.5833994123611,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1973-Q2,57.9353411483072,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1973-Q3,58.132864098492,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1973-Q4,65.6469543939127,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1974-Q1,75.6224605412676,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1974-Q2,85.7530519296837,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1974-Q3,90.2037679185143,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1974-Q4,87.6148233303032,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1975-Q1,83.3201646808002,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1975-Q2,80.9493449240185,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1975-Q3,79.7227806488614,A,0,S,1,2015
OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),ITA,Q,RHP,IX,1975-Q4,80.5163551240118,A,0,S,1,2015
