quarter,total_excl_refi_$m,existing_dwellings_$m,construction_$m,newly_erected_$m,asset_circuit_share_pct,goods_circuit_share_pct,memo_alterations_$m,memo_external_refi_$m
2002-09-01,17204.3,14343.6,2169.3,703.6,83.372,16.699,830.9,5367.9
2002-12-01,17631.3,15007.8,1932.7,729.7,85.12,15.1,1035.1,5537.9
2003-03-01,17279.2,14633.1,1947.2,731.9,84.686,15.505,986.2,5527.4
2003-06-01,20315.9,17151.9,2314.0,886.3,84.426,15.753,1084.5,6728.9
2003-09-01,21997.7,18460.6,2588.0,980.6,83.921,16.223,1266.1,8084.9
2003-12-01,21430.1,17691.3,2517.5,1248.2,82.554,17.572,1283.7,8114.4
2004-03-01,17676.0,14549.4,2132.6,1011.3,82.312,17.786,1166.1,7195.8
2004-06-01,19653.0,16155.6,2407.0,1106.7,82.204,17.879,1188.7,7694.5
2004-09-01,20433.8,16746.6,2516.5,1185.9,81.955,18.119,1089.0,7791.9
2004-12-01,21360.1,17814.6,2359.7,1226.5,83.401,16.789,1032.9,7721.4
2005-03-01,20357.3,17107.2,2154.8,1143.1,84.035,16.2,971.1,7689.1
2005-06-01,22708.6,18799.8,2581.3,1363.3,82.787,17.371,1093.5,9567.0
2005-09-01,23310.0,19265.7,2595.8,1488.8,82.65,17.523,995.8,9853.6
2005-12-01,24610.6,20631.0,2437.3,1612.1,83.83,16.454,980.5,9628.8
2006-03-01,23415.9,19504.5,2359.4,1613.6,83.296,16.967,965.2,8831.8
2006-06-01,26503.5,21961.1,2685.8,1923.6,82.861,17.392,1063.9,10094.5
2006-09-01,26250.4,21574.9,2940.7,1777.4,82.189,17.973,1019.0,10863.8
2006-12-01,26034.2,21651.8,2730.7,1711.6,83.167,17.063,1015.2,10821.4
2007-03-01,25206.9,20942.5,2528.1,1802.8,83.082,17.181,949.2,9717.4
2007-06-01,30241.2,25259.5,2947.5,2122.3,83.527,16.765,1025.1,10657.5
2007-09-01,29661.9,24501.3,3129.1,2096.1,82.602,17.616,943.9,10158.4
2007-12-01,30200.7,25595.0,3046.8,1644.0,84.75,15.532,960.3,10530.5
2008-03-01,24814.0,20983.7,2643.3,1245.7,84.564,15.673,925.1,9932.4
2008-06-01,23810.7,19659.6,2942.7,1227.3,82.566,17.513,911.9,10103.9
2008-09-01,22453.9,18580.3,2722.2,1173.7,82.749,17.351,891.7,9379.1
2008-12-01,25045.0,21000.5,2638.3,1465.2,83.851,16.385,1061.2,10092.3
2009-03-01,27766.6,23238.6,2958.7,1631.6,83.693,16.532,1100.8,9367.6
2009-06-01,33104.5,27068.2,4153.1,1901.1,81.766,18.288,1150.7,10435.6
2009-09-01,32730.5,26241.7,4543.1,1923.0,80.175,19.756,1040.4,9390.9
2009-12-01,32127.2,25498.8,4717.3,1865.7,79.368,20.49,972.5,8778.3
2010-03-01,24817.6,19695.7,3606.2,1483.4,79.362,20.508,836.0,7500.7
2010-06-01,25911.2,20636.9,3535.6,1723.6,79.645,20.297,850.3,7955.5
2010-09-01,25558.8,20307.8,3519.6,1713.2,79.455,20.474,806.8,8942.0
2010-12-01,27118.6,21630.2,3442.2,2050.4,79.761,20.254,865.2,9809.0
2011-03-01,22455.1,18126.1,2886.8,1445.8,80.722,19.295,738.4,8459.0
2011-06-01,25292.7,19997.8,3470.0,1806.6,79.066,20.862,816.6,10088.2
2011-09-01,24947.2,19734.2,3399.6,1797.2,79.104,20.831,808.8,11150.1
2011-12-01,26371.6,21287.5,3200.8,1902.1,80.721,19.35,761.0,11009.6
2012-03-01,22721.8,18098.5,3029.2,1586.2,79.653,20.313,733.2,10414.5
2012-06-01,25387.5,19931.2,3596.2,1831.2,78.508,21.378,736.5,10818.2
2012-09-01,25910.0,20570.3,3622.0,1695.0,79.391,20.521,719.1,10436.7
2012-12-01,27866.0,22637.9,3446.0,1798.9,81.238,18.822,763.4,10732.3
2013-03-01,24688.6,20102.7,3122.4,1473.7,81.425,18.616,675.8,9432.7
2013-06-01,29400.1,23765.6,3981.6,1642.7,80.835,19.13,745.3,11607.9
2013-09-01,29100.5,23500.2,3952.8,1636.3,80.755,19.206,735.4,11728.5
2013-12-01,32767.4,26752.5,4055.6,1980.6,81.644,18.421,732.0,12140.5
2014-03-01,28230.1,22755.8,3890.5,1567.9,80.608,19.335,695.2,11012.2
2014-06-01,31602.0,25092.1,4644.7,1820.3,79.4,20.458,739.3,12516.2
2014-09-01,31069.7,24517.4,4605.7,1897.5,78.911,20.931,730.3,13219.4
2014-12-01,33736.8,27095.3,4543.2,2086.2,80.314,19.65,715.7,13990.7
2015-03-01,29195.3,23504.4,3899.4,1784.3,80.507,19.468,712.9,13625.9
2015-06-01,32652.7,26060.7,4469.1,2103.5,79.812,20.129,800.9,15644.3
2015-09-01,36619.9,29724.1,4370.6,2559.0,81.169,18.923,828.6,17091.8
2015-12-01,39628.9,32297.1,4518.1,2868.2,81.499,18.639,819.0,19275.7
2016-03-01,31417.7,25317.9,3838.7,2280.9,80.585,19.478,765.0,16601.5
2016-06-01,36348.9,28931.2,4699.8,2716.2,79.593,20.402,835.8,19026.0
2016-09-01,34650.5,27416.0,4601.2,2620.2,79.122,20.841,849.5,18420.7
2016-12-01,38484.4,30930.3,4562.3,3025.6,80.371,19.717,801.1,17536.3
2017-03-01,33958.9,27317.5,4108.1,2557.1,80.443,19.627,805.6,15363.0
2017-06-01,38587.5,30496.0,5102.3,2975.8,79.031,20.934,876.9,16211.9
2017-09-01,39644.2,31243.3,5216.4,3171.4,78.809,21.158,891.3,15995.4
2017-12-01,42098.6,33616.9,5012.1,3501.9,79.853,20.224,861.3,17075.3
2018-03-01,35180.8,28035.5,4319.3,2842.3,79.69,20.357,715.4,15668.0
2018-06-01,39388.4,31267.0,4970.8,3156.9,79.381,20.635,699.1,16932.5
2018-09-01,36983.1,29222.5,4837.6,2914.1,79.016,20.96,649.8,17172.5
2018-12-01,37810.2,30232.3,4606.8,2992.6,79.958,20.099,665.9,17127.2
2019-03-01,29667.7,23580.7,4017.1,2054.2,79.483,20.464,565.0,14227.4
2019-06-01,32865.5,25974.4,4491.1,2377.5,79.032,20.899,609.2,15535.9
2019-09-01,35326.4,27937.1,4513.3,2876.0,79.083,20.917,651.8,17751.4
2019-12-01,42254.6,33832.9,4829.3,3592.5,80.069,19.931,670.7,19394.5
2020-03-01,36331.7,28911.8,4555.8,2864.1,79.577,20.423,584.7,19168.6
2020-06-01,35659.2,27407.8,5101.3,3150.0,76.86,23.139,663.7,26526.3
2020-09-01,43823.4,33571.6,6719.7,3532.0,76.607,23.393,699.2,22687.8
2020-12-01,55153.1,41129.1,9634.1,4389.9,74.573,25.427,850.0,21613.8
2021-03-01,55392.0,40722.9,10622.9,4046.2,73.518,26.482,902.1,23300.2
2021-06-01,63857.8,50075.9,9185.6,4596.2,78.418,21.582,1359.3,29246.3
2021-09-01,61654.1,49757.2,7574.7,4322.3,80.704,19.296,1542.4,33913.7
2021-12-01,65042.0,53812.7,6951.5,4277.8,82.735,17.265,1664.5,32445.4
2022-03-01,55876.6,46579.0,6010.9,3286.7,83.36,16.64,1571.6,28553.9
2022-06-01,57964.1,47448.6,7078.7,3436.9,81.859,18.142,1804.0,36996.0
2022-09-01,50966.4,41152.6,6759.6,3054.2,80.745,19.255,1579.0,39160.2
2022-12-01,49169.2,39875.3,6053.8,3240.2,81.098,18.902,1423.7,39401.7
2023-03-01,39704.8,32754.9,4506.9,2443.0,82.496,17.504,1173.4,37325.3
2023-06-01,45771.0,38182.9,4749.1,2838.9,83.422,16.578,1194.4,42740.3
2023-09-01,44607.6,37322.5,4529.9,2755.3,83.668,16.332,1178.4,43160.4
2023-12-01,51854.9,43442.5,5237.4,3175.0,83.777,16.223,1267.6,34049.5
2024-03-01,43205.1,36073.3,4516.6,2615.2,83.493,16.507,1127.1,27557.6
2024-06-01,53435.5,44397.3,5750.4,3287.8,83.086,16.914,1360.2,32164.2
2024-09-01,53357.8,44800.9,5415.6,3141.2,83.963,16.037,1449.2,34712.0
2024-12-01,58726.0,49738.0,5574.8,3413.2,84.695,15.305,1528.3,38118.4
2025-03-01,48887.9,41626.7,4805.5,2455.7,85.147,14.853,1432.1,35346.2
2025-06-01,57589.3,48869.3,5892.8,2827.2,84.858,15.142,1667.6,42029.3
2025-09-01,58649.2,49603.8,5753.1,3292.3,84.577,15.423,1769.7,43192.5
2025-12-01,69777.3,59457.6,6695.4,3624.4,85.211,14.79,2025.1,43948.7
2026-03-01,55679.0,47135.6,5799.5,2743.9,84.656,15.344,1845.1,38630.8
