REF_AREA,goods,services,gms,pre_infl,inc_gap,gdp20,sav_jump,eur
AUS,5.588903333333334,4.223069333333334,1.3658339999999995,1.6512348,7.47,-3.04,9.360000000000001,0
AUT,7.799436,4.928914,2.8705220000000002,1.49987047,5.800000000000001,-6.73,6.109999999999999,1
CAN,5.516941333333333,3.9701036666666667,1.546837666666666,1.673676,12.489999999999998,-6.14,11.350000000000001,0
CHL,9.204210333333334,6.578739666666667,2.6254706666666667,3.0620242,14.870000000000001,-7.76,,0
CZE,10.198663,8.722670666666668,1.4759923333333322,1.6340773800000001,6.79,-4.87,6.85,1
DNK,5.260808666666667,3.3495345000000003,1.9112741666666664,0.61209072,2.04,-2.0,1.25,1
ESP,5.358682999999999,2.81212195,2.5465610499999993,0.7227612299999999,8.59,-11.42,9.010000000000002,1
FIN,5.576958333333333,3.807790166666667,1.7691681666666659,0.63106825,2.96,-2.65,3.41,1
FRA,2.2554587,2.6228318333333336,-0.36737313333333343,0.9212202279999999,7.59,-7.76,5.790000000000001,1
GBR,7.5,4.266666666666667,3.2333333333333334,1.5699999999999998,9.48,-10.25,10.809999999999999,1
GRC,6.175547666666667,2.7078142,3.4677334666666666,0.07383126,5.99,-9.0,3.15,1
HUN,13.336157333333333,9.861529166666667,3.4746281666666654,1.807020162,4.55,-4.25,0.1999999999999993,1
IRL,4.591201333333333,5.070493,-0.47929166666666667,0.316031177,-2.9500000000000006,5.73,11.819999999999999,1
ITA,6.943946666666666,2.844447,4.0994996666666665,0.601998579,6.359999999999999,-8.42,7.360000000000001,1
MEX,7.706698,4.482737666666667,3.2239603333333333,4.0238233999999995,2.6100000000000003,-9.39,4.299999999999999,0
NLD,7.555551,3.6680846666666667,3.8874663333333337,1.25355709,6.24,-4.41,6.140000000000001,1
POL,10.508333333333333,9.931943833333333,0.5763894999999994,0.84333334,6.380000000000001,0.06,6.609999999999999,1
PRT,5.339087666666667,3.4902026999999998,1.8488849666666671,0.79958438,6.9,-8.47,5.050000000000001,1
USA,6.620348666666666,5.028347666666667,1.592000999999999,1.29651131,8.84,-2.47,7.579999999999998,0
