REF_AREA,date,HPI,HPI_RPI,RPI,iso2,hh_share,year,d_ptr,d_hp,d_rent,d_hh
AUT,2001-10-01,59.2210326298841,93.2005098999544,63.5436931899732,AT,33.778767631774315,2001,-2.371179068934648,-0.15133081380822588,2.219848255126333,-0.2317666044935578
AUT,2002-10-01,60.3220131154023,91.1146212708797,66.2067878220056,AT,34.523809523809526,2002,-2.2634904382364596,1.842033736904014,4.1055241751405624,0.7450418920352107
AUT,2003-10-01,61.5206446672933,91.6148246453139,67.1536910336406,AT,34.23357664233577,2003,0.5474811367504273,1.9675707057809966,1.4200895690305693,-0.2902328814737558
AUT,2004-10-01,61.3846975744578,84.0868197280524,73.0040507739639,AT,35.48148148148148,2004,-8.574326642070584,-0.22122252100507112,8.353104121065513,1.2479048391457113
AUT,2005-10-01,63.7016341672044,88.1702893016303,72.2508686751662,AT,37.47307968413496,2005,4.74202170028688,3.704963744564971,-1.0370579557219983,1.9915982026534778
AUT,2006-10-01,65.1782852693657,87.9270999401194,74.1301615593621,AT,38.50658857979503,2006,-0.2761988887594491,2.291614907864048,2.567813796623586,1.03350889566007
AUT,2007-10-01,67.8981963469832,90.2723258301432,75.2174092851348,AT,36.78977272727273,2007,2.632288285366613,4.088310539504736,1.456022254138123,-1.716815852522302
AUT,2008-10-01,70.2097464736047,91.232535270428,76.9595334590318,AT,36.59217877094972,2008,1.0580635608188338,3.347766921092532,2.2897033602736983,-0.19759395632300425
AUT,2009-10-01,71.7855582675198,88.2546866658205,81.3418545670124,AT,36.85655456417296,2009,-3.3184778749550503,2.219617743786362,5.538095618741323,0.26437579322323757
AUT,2010-10-01,79.4243779818974,94.994937783307,83.6119062270971,AT,37.00202565833896,2010,7.359680259111467,10.112203112184215,2.7525228530728363,0.14547109416599824
AUT,2011-10-01,83.6366659201828,96.1594360865583,86.980033217722,AT,36.62551440329217,2011,1.218400275596565,5.167666289162476,3.949266013565911,-0.3765112550467862
